PL;Polska;37,887,768
UA;Ukraina;43,993,638
NO;Norwegia;5,378,857
DK;Dania;5,771,876
SE;Szwecja;10,036,379
DE;Niemcy;83,517,045
GB;Wielka Brytania;67,530,172
